user_id,age,country,device,occupation,acquisition_channel,income_level,registration_date
1,22,Poland,Android,Student,YouTube,867,2025-06-28
2,37,Portugal,Android,Employee,TikTok,1344,2025-05-11
3,45,Germany,Android,Self-employed,Google,2906,2025-01-05
4,60,Portugal,Android,Self-employed,Instagram,8308,2025-09-26
5,18,Portugal,iPhone,Student,Google,756,2025-03-07
6,45,Germany,iPhone,Self-employed,YouTube,5806,2025-10-11
7,32,Spain,Android,Self-employed,Google,7501,2025-11-03
8,30,Germany,Android,Self-employed,Google,4305,2025-08-10
9,52,UK,iPhone,Self-employed,Referral,1434,2025-03-18
10,63,Spain,iPhone,Self-employed,Google,5274,2025-02-16
11,24,France,Android,Student,Referral,805,2025-04-11
12,47,Portugal,iPhone,Employee,TikTok,2071,2025-07-18
13,52,Spain,Android,Self-employed,YouTube,6936,2025-01-03
14,47,Spain,iPhone,Self-employed,Google,1862,2025-07-15
15,38,UK,Android,Employee,Instagram,2547,2025-09-27
16,22,UK,iPhone,Student,Instagram,893,2025-05-03
17,47,France,Android,Self-employed,Referral,9827,2025-07-02
18,20,UK,iPhone,Student,YouTube,989,2025-05-05
19,45,Germany,Android,Self-employed,YouTube,1077,2025-05-27
20,20,Portugal,Android,Student,YouTube,1019,2025-09-25
21,40,Portugal,Android,Employee,Referral,2946,2025-10-17
22,21,UK,Android,Student,YouTube,598,2025-01-09
23,22,UK,Android,Employee,YouTube,3773,2025-11-27
24,28,Germany,iPhone,Self-employed,Referral,5253,2025-01-18
25,18,Poland,iPhone,Student,YouTube,953,2025-01-05
26,51,Germany,Android,Employee,YouTube,2169,2025-02-12
27,50,Portugal,Android,Self-employed,TikTok,4245,2025-01-28
28,61,Portugal,Android,Self-employed,TikTok,1648,2025-04-14
29,58,Germany,iPhone,Self-employed,Instagram,6902,2025-08-05
30,47,Portugal,iPhone,Self-employed,Referral,1706,2025-06-25
31,43,UK,Android,Employee,Google,2158,2025-07-11
32,24,Germany,Android,Student,TikTok,1053,2025-12-06
33,26,Spain,iPhone,Self-employed,Instagram,1516,2025-02-09
34,53,UK,iPhone,Self-employed,YouTube,5789,2025-03-02
35,41,Spain,Android,Self-employed,Referral,7380,2025-04-15
36,22,Spain,iPhone,Student,Instagram,1016,2025-05-07
37,24,Spain,Android,Student,Instagram,1110,2025-02-08
38,20,Poland,Android,Student,Instagram,416,2025-04-10
39,24,Spain,Android,Student,Referral,979,2025-03-16
40,22,Portugal,iPhone,Student,YouTube,726,2025-03-27
41,22,Poland,iPhone,Student,TikTok,1176,2025-08-26
42,22,Germany,Android,Student,YouTube,685,2025-05-21
43,20,UK,Android,Student,TikTok,550,2025-08-04
44,40,Spain,Android,Self-employed,Instagram,1778,2025-10-01
45,47,Portugal,iPhone,Employee,Instagram,2665,2025-01-10
46,24,Spain,Android,Student,TikTok,610,2025-01-26
47,65,Spain,Android,Self-employed,TikTok,2880,2025-06-15
48,29,Portugal,Android,Employee,Instagram,1840,2025-03-28
49,57,Germany,Android,Self-employed,Instagram,6724,2025-06-17
50,53,Poland,iPhone,Employee,YouTube,4207,2025-07-07
51,40,France,iPhone,Employee,Instagram,3559,2025-10-06
52,49,France,iPhone,Employee,TikTok,2719,2025-07-09
53,21,France,iPhone,Student,Referral,376,2025-12-09
54,24,France,iPhone,Student,Google,452,2025-01-22
55,47,Portugal,Android,Self-employed,Instagram,7669,2025-01-09
56,59,Germany,iPhone,Self-employed,Referral,5097,2025-03-18
57,41,Portugal,Android,Self-employed,YouTube,9333,2025-07-28
58,62,Portugal,Android,Self-employed,Google,8025,2025-07-15
59,50,Portugal,Android,Employee,Google,5393,2025-10-27
